Rubriques,Titre,URL
Fables de La Fontaine,Le Lion et Le Rat + 6 Fables de La Fontaine | Avec Les P'tits z'Amis,https://www.youtube.com/watch?v=Bl8ucQ9OO1E&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,La Cigale et la Fourmi | Fable de La Fontaine | les P'tits z'Amis,https://www.youtube.com/watch?v=CmxRPaQ_AFw&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Corbeau et le Renard | Fable de La Fontaine | les P'tits z'Amis,https://www.youtube.com/watch?v=STb_QERzEck&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,le Lièvre et la Tortue | Fable de La Fontaine | les P'tits z'Amis,https://www.youtube.com/watch?v=GQx-1AKyCq0&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Rat de Ville et le Rat des Champs | Fable de La Fontaine,https://www.youtube.com/watch?v=WlW7W92YUZI&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Renard et la Cigogne | Fable de La Fontaine | les P'tits z'Amis,https://www.youtube.com/watch?v=sqApl_iNd6s&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,La Grenouille qui veut se Faire plus Grosse que le Boeuf,https://www.youtube.com/watch?v=MLf6EHayuQE&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Corbeau et le Renard,https://www.youtube.com/watch?v=IPkxWKrHVg8&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Lion et la Souris | Contes De Fées Français,https://www.youtube.com/watch?v=8lkPUEP0ZQ0&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Loup et l'Agneau - Les Fables de La Fontaine,https://www.youtube.com/watch?v=WmZKb5WlR8g&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le corbeau et le renard - Fables de la fontaine en chansons,https://www.youtube.com/watch?v=mpmV06yhoew&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,Le Renard et la Cigogne + 4 comptines et chansons,https://www.youtube.com/watch?v=g3bewm6eDd8&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
Fables de La Fontaine,2 Fables | Le loup et le Buffle + Le Cheval et l'Âne,https://www.youtube.com/watch?v=wrvV_eSfeF8&pp=ygUeZmFibGUgZGUgbGEgZm9udGFpbmUgY29tcHRpbmVz
